,RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty,Strike,Ticker,Validade,Tipo,Price
2346,6/29/2020,B3SAS48,BRB3SA3S02P8,EQUITY PUT,"0,4","0,49","0,43","0,49",,"0,38",4,51900,48.06,B3SA3,7/20/2020,EURO,55.35
2347,6/29/2020,B3SAS485,BRB3SA3S03N1,EQUITY PUT,"0,46","0,56","0,47","0,48",,"0,43",11,82500,48.56,B3SA3,7/20/2020,EURO,55.35
2348,6/29/2020,B3SAS490,BRB3SA3S03P6,EQUITY PUT,"0,59","0,59","0,59","0,59",,"0,49",1,500,49.06,B3SA3,7/20/2020,EURO,55.35
2349,6/29/2020,B3SAS495,BRB3SA3S03V4,EQUITY PUT,"0,6","0,73","0,7","0,6",,"0,56",6,6600,49.56,B3SA3,7/20/2020,EURO,55.35
2351,6/29/2020,B3SAS500,BRB3SA3S0465,EQUITY PUT,"0,67","0,76","0,73","0,7",,"0,64",7,4400,50.06,B3SA3,7/20/2020,EURO,55.35
2352,6/29/2020,B3SAS510,BRB3SA3S03X0,EQUITY PUT,"0,91","1,2","1,04","0,94",,"0,82",8,49000,51.06,B3SA3,7/20/2020,EURO,55.35
2353,6/29/2020,B3SAS511,BRB3SA3S02M5,EQUITY PUT,"0,76","0,9","0,76","0,8",,"0,72",6,31800,50.56,B3SA3,7/20/2020,EURO,55.35
2354,6/29/2020,B3SAS515,BRB3SA3S03W2,EQUITY PUT,1,"1,15","1,05","1,09",,"0,93",5,1800,51.56,B3SA3,7/20/2020,EURO,55.35
2355,6/29/2020,B3SAS520,BRB3SA3S03Y8,EQUITY PUT,"1,17","1,32","1,19","1,17",,"1,06",5,6400,52.06,B3SA3,7/20/2020,EURO,55.35
2356,6/29/2020,B3SAS525,BRB3SA3S0440,EQUITY PUT,"1,33","1,62","1,4","1,37",,"1,2",15,16700,52.56,B3SA3,7/20/2020,EURO,55.35
2357,6/29/2020,B3SAS530,BRB3SA3S03Z5,EQUITY PUT,"1,42","1,91","1,73","1,53",,"1,35",19,16000,53.06,B3SA3,7/20/2020,EURO,55.35
2358,6/29/2020,B3SAS540,BRB3SA3S0432,EQUITY PUT,"1,79","2,28","2,01","1,85",,"1,72",7,4200,54.06,B3SA3,7/20/2020,EURO,55.35
2359,6/29/2020,B3SAS544,BRB3SA3S04C2,EQUITY PUT,"2,12","2,67","2,39","2,12",,"1,94",7,22100,54.56,B3SA3,7/20/2020,EURO,55.35
2360,6/29/2020,B3SAS545,BRB3SA3S02H5,EQUITY PUT,"1,6","2,13","1,77","1,65",,"1,53",60,13900,53.56,B3SA3,7/20/2020,EURO,55.35
2361,6/29/2020,B3SAS550,BRB3SA3S0416,EQUITY PUT,"2,46","2,62","2,54","2,51",,"2,17",5,4900,55.06,B3SA3,7/20/2020,EURO,55.35
2362,6/29/2020,B3SAS555,BRB3SA3S0408,EQUITY PUT,"2,73","2,73","2,73","2,73",,"2,42",1,3500,55.56,B3SA3,7/20/2020,EURO,55.35
2363,6/29/2020,B3SAS560,BRB3SA3S0457,EQUITY PUT,"2,77","3,1","2,91","3,08",,"2,69",4,7600,56.06,B3SA3,7/20/2020,EURO,55.35
2374,6/29/2020,B3SAS9,BRB3SA3S0358,EQUITY PUT,"0,18","0,18","0,18","0,18",,"0,1",1,300,43.81,B3SA3,7/20/2020,EURO,55.35
2418,6/29/2020,B3SAT40,BRB3SA3T0365,EQUITY PUT,"0,27","0,27","0,27","0,27",,"0,19",1,100,40.39,B3SA3,8/17/2020,EURO,55.35
2430,6/29/2020,B3SAT438,BRB3SA3T03M1,EQUITY PUT,"0,48","0,5","0,49","0,48",,"0,44",25,220500,43.89,B3SA3,8/17/2020,EURO,55.35
2431,6/29/2020,B3SAT443,BRB3SA3T0522,EQUITY PUT,"0,53","0,54","0,53","0,54",,"0,49",2,24000,44.39,B3SA3,8/17/2020,EURO,55.35
2432,6/29/2020,B3SAT448,BRB3SA3T03P4,EQUITY PUT,"0,54","0,55","0,54","0,55",,"0,54",3,36000,44.89,B3SA3,8/17/2020,EURO,55.35
2434,6/29/2020,B3SAT460,BRB3SA3T02R2,EQUITY PUT,"0,57","0,67","0,62","0,67",,"0,6",6,95600,45.39,B3SA3,8/17/2020,EURO,55.35
2435,6/29/2020,B3SAT461,BRB3SA3T03G3,EQUITY PUT,"0,75","0,75","0,75","0,75",,"0,69",1,12000,46.14,B3SA3,8/17/2020,EURO,55.35
