RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty,Strike,Ticker,Validade,Tipo,Price
2020-07-23,B3SAH752,BRB3SA3H0633,EQUITY CALL,"0,33","0,65","0,44","0,36",,"0,4",204,253800,75.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH762,BRB3SA3H05X8,EQUITY CALL,"0,37","0,37","0,37","0,37",,"0,33",1,700,76.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH772,BRB3SA3H05Z3,EQUITY CALL,"0,25","0,31","0,26","0,25",,"0,27",9,13100,77.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH782,BRB3SA3H0658,EQUITY CALL,"0,18","0,33","0,26","0,18",,"0,23",4,4000,78.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAH792,BRB3SA3H05V2,EQUITY CALL,"0,18","0,18","0,18","0,18",,"0,2",1,100,79.27,B3SA3,2020-08-17,AMER,0.0
2020-07-23,B3SAI578,BRB3SA3I05L1,EQUITY CALL,"9,3","9,3","9,3","9,3",,"9,36",1,100,57.88,B3SA3,2020-09-21,AMER,0.0
2020-07-23,B3SAI628,BRB3SA3I05O5,EQUITY CALL,"5,64","6,48","5,73","5,67",,"5,88",3,2200,62.88,B3SA3,2020-09-21,AMER,0.0
2020-07-23,B3SAI653,BRB3SA3I05U2,EQUITY CALL,"4,53","4,53","4,53","4,53",,"4,47",1,200,65.38,B3SA3,2020-09-21,EURO,0.0
2020-07-23,B3SAI658,BRB3SA3I05J5,EQUITY CALL,4,"5,11","4,62","4,05",,"4,21",29,155400,65.88,B3SA3,2020-09-21,AMER,0.0
2020-07-23,B3SAI668,BRB3SA3I05R8,EQUITY CALL,"3,58","4,49","4,2","3,58",,"3,74",15,807800,66.88,B3SA3,2020-09-21,AMER,0.0
2020-07-23,B3SAI678,BRB3SA3I0616,EQUITY CALL,"3,29","3,9","3,57","3,29",,"3,3",6,29500,67.88,B3SA3,2020-09-21,AMER,0.0
2020-07-23,B3SAI688,BRB3SA3I05Z1,EQUITY CALL,"2,69","3,56","3,15","2,69",,"2,9",9,28500,68.88,B3SA3,2020-09-21,AMER,0.0
2020-07-23,B3SAI698,BRB3SA3I0608,EQUITY CALL,"2,45","3,03","2,84","2,45",,"2,53",7,54500,69.88,B3SA3,2020-09-21,AMER,0.0
2020-07-23,B3SAI708,BRB3SA3I05Y4,EQUITY CALL,2,"2,54","2,36","2,09",,"2,2",4,1400,70.88,B3SA3,2020-09-21,AMER,0.0
2020-07-23,B3SAI718,BRB3SA3I0640,EQUITY CALL,"1,7","1,7","1,7","1,7",,"1,91",1,2000,71.88,B3SA3,2020-09-21,AMER,0.0
2020-07-23,B3SAI728,BRB3SA3I0673,EQUITY CALL,"1,79","1,9","1,84","1,79",,"1,64",2,200,72.88,B3SA3,2020-09-21,AMER,0.0
2020-07-23,B3SAI758,BRB3SA3I0624,EQUITY CALL,"1,02","1,16","1,06","1,02",,"1,02",2,1500,75.88,B3SA3,2020-09-21,AMER,0.0
2020-07-23,B3SAJ699,BRB3SA3J0474,EQUITY CALL,"3,07","3,07","3,07","3,07",,"3,33",1,1000,69.94,B3SA3,2020-10-19,AMER,0.0
2020-07-23,B3SAO650,BRB3SA3O0337,EQUITY PUT,5,5,5,5,,"7,22",1,5000,65.0,B3SA3,2021-03-15,EURO,0.0
2020-07-23,B3SAT40,BRB3SA3T0365,EQUITY PUT,"0,03","0,04","0,03","0,04",,"0,01",4,26900,40.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT443,BRB3SA3T0522,EQUITY PUT,"0,05","0,05","0,05","0,05",,"0,01",2,10000,44.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT473,BRB3SA3T03X8,EQUITY PUT,"0,06","0,07","0,06","0,06",,"0,04",6,19400,47.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT488,BRB3SA3T03F5,EQUITY PUT,"0,11","0,11","0,11","0,11",,"0,07",1,2000,48.77,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT500,BRB3SA3T04S6,EQUITY PUT,"0,1","0,1","0,1","0,1",,"0,11",1,200,50.27,B3SA3,2020-08-17,EURO,0.0
2020-07-23,B3SAT510,BRB3SA3T04R8,EQUITY PUT,"0,2","0,2","0,2","0,2",,"0,15",1,200,51.27,B3SA3,2020-08-17,EURO,0.0
